id,hari,tanggal,bulan,tahun,judul,kota,deteksi_kendaraan,model_kendaraan,kondisi
6628116,Senin,20,3,2023.0,Pebulutangkis Syabda Tewas Kecelakaan Perjalanan ke Sragen karena Nenek Wafat,Solo,bus,sedan,"tewas, selamat"
6628095,Senin,20,3,2023.0,Pebulutangkis Syabda Perkasa Belawa Tewas Kecelakaan di Tol Pemalang,Solo,bus,,"tewas, selamat"
6628003,Senin,20,3,2023.0,Lalin Tol Dalam Kota Cawang ke Arah Pancoran Macet Pagi Ini,Jakarta,mobil,,
6627950,Senin,20,3,2023.0,"Ada Kecelakaan, Tol Bekasi Arah Jakarta Macet 2 Km",Jakarta,mobil,sedan,
6627942,Senin,20,3,2023.0,"Lalin Tol Desari Macet Pagi Ini, Kendaraan Menuju Cilandak Antre Panjang",Jakarta,"mobil, truk",,
6627946,Senin,20,3,2023.0,"Tabrakan Beruntun 4 Kendaraan di Tol JORR, Lalin Macet",Jakarta,mobil,,
6627924,Senin,20,3,2023.0,"Senin Pagi, Tol Arah ke Jakarta Macet di Sejumlah Titik",Jakarta,"mobil, truk",,
6626860,Senin,20,3,2023.0,"Cegah Kecelakaan, 40 Sopir Bus di Subang Dites Urine",Subang,bus,,selamat
6627547,Minggu,19,3,2023.0,Viral! Minibus Melaju Kencang hingga Tabrak 4 Mobil di Bandung,Kabupaten Bandung,"mobil, motor, bus, kereta","minibus, sedan, angkot",tewas
6627421,Minggu,19,3,2023.0,"Kecelakaan Bus di Bangladesh, 19 Orang Tewas dan 25 Orang Terluka",Jakarta,bus,,tewas
6627134,Minggu,19,3,2023.0,"Kecelakaan Beruntun di Senayan Diduga Sopir Ngantuk, 1 Korban Dibawa ke RS",Jakarta,"mobil, bus","minibus, sedan",
6627130,Minggu,19,3,2023.0,Kesaksian Warga Dengar Suara Keras Saat Tabrakan Beruntun di Bunsen Jaksel,Jakarta,"mobil, bus",taksi,tewas
6627014,Minggu,19,3,2023.0,Angkot-Motor Terobos Lampu Merah Berujung Tabrakan di Bandung,Bandung,"mobil, motor, kereta",angkot,tewas
6626935,Minggu,19,3,2023.0,"Kecelakaan Beruntun 5 Kendaraan di Bundaran Senayan Jaksel, Lalin Macet",Jakarta,"mobil, bus",taksi,tewas
6626817,Minggu,19,3,2023.0,Kecelakaan Tunggal Truk di Tol Semarang Ternyata Terjadi karena Ini,Semarang,"mobil, truk",sedan,
6626757,Minggu,19,3,2023.0,Taksi Penyok Ditabrak Mobil di Tol JORR Fatmawati Jakarta,Jakarta,"mobil, bus",taksi,tewas
6625875,Sabtu,18,3,2023.0,Maut Kecelakaan Beruntun di Tol Krapyak Semarang,Solo,"mobil, truk",,tewas
6624675,Sabtu,18,3,2023.0,Akhir Perjalanan Sang Dokter Baik,Bandung,"mobil, motor, truk",sedan,tewas
6625313,Sabtu,18,3,2023.0,"Curhat Warga Mojokerto ke Kapolda Jatim, Marak Debt Collector-Sengketa Lahan",Mojokerto,motor,sedan,tewas
6625242,Jumat,17,3,2023.0,"Jadi Korban Tabrakan Beruntun di Subang, Hadiana Meninggal Dunia",Subang,"mobil, truk, bus","minibus, pikap",tewas
6624833,Jumat,17,3,2023.0,"Kecelakaan Beruntun di Jalur Utama Subang-Bandung, 2 Orang Luka",Subang,"mobil, motor, truk, bus",minibus,tewas
6623813,Jumat,17,3,2023.0,"Sapi Lepas di Tol Cengkareng! Lari Sejauh 3,8 Km",Solo,truk,,tewas
6623679,Jumat,17,3,2023.0,Truk Minuman Energi Terguling di 'Jalur Tengkorak' Cianjur,Cianjur,"mobil, motor, truk",,selamat
6623472,Jumat,17,3,2023.0,Fakta-fakta Kecelakaan Maut Tol Semarang Tewaskan 2 Orang,Solo,"mobil, truk",,"tewas, kritis"
6623238,Kamis,16,3,2023.0,"Fitur Keselamatan Mobil Makin Canggih, Kenapa Masih Banyak Kecelakaan?",Jakarta,mobil,,selamat
6622462,Kamis,16,3,2023.0,Laka Beruntun Tewaskan 2 Orang di Tol Krapyak Dipicu Truk Hilang Kendali,Semarang,"mobil, truk",,tewas
6622319,Kamis,16,3,2023.0,"Bule Dilarang Rental Motor di Bali, Sandiaga Pantau Dampaknya ke Wisata",Semarang,"mobil, motor",,
6621448,Rabu,15,3,2023.0,IRT di Muaro Jambi Tewas Usai Kecelakaan-Kepala Dilindas Truk,Muaro Jambi,"motor, truk","sedan, tronton",tewas
6620935,Rabu,15,3,2023.0,Jabar Hari Ini: Kata 'Maneh' ke RK Bikin Guru Cirebon Dipecat,Bandung,"mobil, kereta","sedan, angkot","tewas, selamat"
6620870,Rabu,15,3,2023.0,2 Korban Tewas Pikap Tertabrak KA di Probolinggo Pasutri Bos Swalayan,Probolinggo,"mobil, truk, kereta","sedan, pikap",tewas
6620755,Rabu,15,3,2023.0,"Pikap Gran Max Tertabrak KA di Probolinggo, Tiga Orang Tewas",Probolinggo,"mobil, truk, kereta","sedan, pikap",tewas
6619480,Rabu,15,3,2023.0,"Bea Balik Nama Kendaraan Bekas dan Pajak Progresif Mau Dihapus, Kapan Dimulai?",Jakarta,motor,,
6618271,Rabu,15,3,2023.0,"Rawan Kecelakaan, Lintasan Menuju Palabuhanratu Kerap Gulita!",Bandung,"mobil, truk",,
6619304,Selasa,14,3,2023.0,Terkuak! Ini Alasan Lamborghini 'DOMOGATSKY' Nama PT EST sampai Nunggak Pajak,Jakarta,"mobil, motor",,
6619245,Selasa,14,3,2023.0,Kakek Asal Jombang Tewas Terlindas Truk Muat Pupuk di Bypass Mojokerto,Mojokerto,"motor, truk",sedan,tewas
6619132,Selasa,14,3,2023.0,"Rem Blong, Truk Muatan Bahan Semen Seruduk Bangjo-Tiang Listrik di Blora",Blora,truk,"sedan, tronton",
6618569,Selasa,14,3,2023.0,"Status Lamborghini 'DOMOGATSKY': Nopol Sudah Diblokir, Nunggak Pajak Jadi Rp 220 Juta",Jakarta,"mobil, motor",sedan,
6618387,Selasa,14,3,2023.0,"Camat Sunggal Kecelakaan Saat Hendak ke Acara MTQ, Dirawat di RS Haji",Medan,mobil,,
6618278,Selasa,14,3,2023.0,Takut! Sopir Lamborghini Pelat Palsu Nunggak Pajak Rp 104 Juta Kabur ke Dubai,Jakarta,"mobil, motor",,
6618165,Selasa,14,3,2023.0,Lokasi Laka Adu Banteng yang Tewaskan Dokter di Pangandaran,Pangandaran,"mobil, motor, truk",,tewas
6618068,Selasa,14,3,2023.0,Biker Asal Bojonegoro Tewas Usai Tabrak Truk Parkir di Lamongan,Lamongan,"motor, truk","tronton, angkot",tewas
6617621,Selasa,14,3,2023.0,Lamborghini 'DOMOGATSKY': Nunggak Pajak Rp 104 Juta-PT EST Dipanggil Polda,Denpasar,"mobil, motor",,
6617482,Selasa,14,3,2023.0,"Ratusan Juta Orang Bakal Mudik Lebaran 2023, Awas Macet!",Jakarta,"mobil, motor",,selamat
6617460,Selasa,14,3,2023.0,"Bule Bali Bertingkah, Kok Korbannya Malah Usaha Rental Motor?",Jakarta,"mobil, motor",sedan,selamat
6617134,Senin,13,3,2023.0,Polisi Kaji Larangan Bus Melintas Tanjakan Tenjoayu Sukabumi,Sukabumi,bus,,tewas
6616979,Senin,13,3,2023.0,Momen Mencekam Bus Putra Bahari di Tanjakan Tenjoayu,Sukabumi,"mobil, motor, bus",,selamat
6617089,Senin,13,3,2023.0,Kasus Pelajar Tabrak Angkot hingga Terbalik di Medan Berujung Damai,Medan,mobil,"sedan, angkot",
6616717,Senin,13,3,2023.0,Berkas Kasus Tabrak Lari Mahasiswi Cianjur Sudah P21!,Cianjur,"mobil, truk",,tewas
6616401,Senin,13,3,2023.0,"Truk Pengangkut Gula Cair Terguling di Tol Cipali, Ringsek Parah!",Purwakarta,"mobil, truk",sedan,
6616392,Senin,13,3,2023.0,Mobil Terperosok Lubang Galian di Jalan Margasatwa Jaksel,Jakarta,"mobil, truk, bus",sedan,tewas
6616315,Senin,13,3,2023.0,"Jalan Lubang, Truk Muat Kelapa Terguling di Lembar",Mataram,"motor, truk",sedan,tewas
6616236,Senin,13,3,2023.0,"Turis Asing Bertingkah di Jalanan Bali, Petugas Kurang Tegas?",Jakarta,motor,,selamat
6616198,Senin,13,3,2023.0,"Pelarangan Turis Asing Sewa Motor, Rental Motor Menjerit",Badung,motor,,
6616145,Senin,13,3,2023.0,"Kecelakaan Motor Vs Motor di Blora, 1 Orang Tewas",Blora,motor,,tewas
6616096,Senin,13,3,2023.0,"Menuju Single Data, Kepala Daerah Diminta Hapus BBN 2 Ranmor",Bandung,motor,,
6615223,Senin,13,3,2023.0,"Mobil Tabrak Beton Pembatas Jalan di Tol BSD Tangsel, Sopir Dilarikan ke RS",Jakarta,"mobil, truk",,tewas
6615052,Minggu,12,3,2023.0,Bamsoet Ajak Komunitas Otomotif Berperan Tekan Angka Kecelakaan,Jakarta,"mobil, motor, bus",,selamat
6614610,Minggu,12,3,2023.0,"3 Satpol PP Surabaya Jadi Korban Tabrak Balap Liar, Polisi Masifkan Patroli",Surabaya,"mobil, motor",,
6614330,Minggu,12,3,2023.0,Pelajar SMP Tewas Usai Tabrak Pejalan Kaki dan Pemotor di Jombang,Jombang,"motor, truk",sedan,tewas
6614313,Minggu,12,3,2023.0,"Subsidi Motor Listrik, Pengamat: RI Bukan Cuma Jakarta, Belajar dari Asmat",Jakarta,"mobil, motor, bus",sedan,
6612785,Sabtu,11,3,2023.0,"Mobil Boks Tabrak Truk di Tol Cipularang, Sopir Tewas Terjepit",Purwakarta,"mobil, truk",sedan,tewas
6612766,Sabtu,11,3,2023.0,Nahas! 2 Siswi SMK Tewas Terlindas Truk,Denpasar,"mobil, motor, truk",,tewas
6611771,Jumat,10,3,2023.0,Korban Tewas Kecelakaan Maut di Pantura Rembang Jadi 4 Orang-16 Terluka,Surabaya,"truk, bus",sedan,tewas
6611768,Jumat,10,3,2023.0,Pantura Rembang Macet Imbas Kecelakaan Maut Bus dan 2 Truk di Pasarbanggi,Rembang,"truk, bus",,tewas
6611766,Jumat,10,3,2023.0,"Evakuasi Truk Laka Beruntun di Pantura Rembang, Alat Berat Dikerahkan",Rembang,"truk, bus",sedan,tewas
6611660,Jumat,10,3,2023.0,"Korban Bus Vs 2 Truk di Pantura Rembang Bertambah, 4 Tewas-16 Luka",Rembang,"truk, bus",sedan,tewas
6610672,Jumat,10,3,2023.0,Subsidi Motor Listrik Dinilai Rawan Penyalahgunaan,Jakarta,"mobil, motor, bus",,
6610657,Jumat,10,3,2023.0,"Lamborghini Pelat 'DOMOGATSKY' Bule Rusia Nunggak Pajak, Segini yang Harus Dibayar!",Jakarta,"mobil, motor",,
6610724,Jumat,10,3,2023.0,Cek Titik Macet di Sejumlah Ruas Tol Jakarta dan Sekitarnya Pagi Ini,Jakarta,truk,,
6610712,Jumat,10,3,2023.0,"Truk Angkut Air Mineral Pecah Ban di Jalan Akses Bandara, Lalin Tersendat",Tangerang,truk,,
6610529,Kamis,9,3,2023.0,"4 Korban Kecelakaan Truk Tangki BBM di Sulut Teridentifikasi, 1 Balita Tewas",Minahasa Selatan,"mobil, truk, bus",minibus,tewas
6610518,Kamis,9,3,2023.0,"Kendaraan Tabrakan Beruntun di Tol Sragen Dievakuasi, Lalu Lintas Lancar",Sragen,"mobil, truk, bus","minibus, sedan",
6610275,Kamis,9,3,2023.0,"Protes Jalan Rusak, Warga Tulungagung Tanam Pohon Pisang Sepanjang 1,5 Km",Tulungagung,truk,,
6609470,Kamis,9,3,2023.0,"Ditabrak Truk, Portal Pembatas Tinggi di Underpass Tanah Abang Rusak Lagi",Jakarta,truk,,
