tweetid,link,source,retweet_count,tweet_type,user_id
1600742167701778433,https://twitter.com/kissofires/statuses/1600742167701778433,Twitter for iPhone,0,original,1114187972742508549
1600742160747618304,https://twitter.com/Jevxsa/statuses/1600742160747618304,Twitter for Android,0,original,1396348775287779328
1600742158876966912,https://twitter.com/YohannaKiel/statuses/1600742158876966912,Twitter for iPhone,23,retweet,2397427002
1600742154745577473,https://twitter.com/vernonsiii/statuses/1600742154745577473,Twitter for iPhone,11612,retweet,1195496966576197633
1600742154477133824,https://twitter.com/CarlyDavira/statuses/1600742154477133824,Twitter Web App,0,original,1539433201017319424
1600742152153112576,https://twitter.com/yfwvyooxuzsjg/statuses/1600742152153112576,Twitter Web App,0,original,789410782572183553
1600742143966187520,https://twitter.com/Prayoga65087873/statuses/1600742143966187520,Twitter for Android,45,retweet,1324957871444951040
1600742141948747776,https://twitter.com/mang_ib/statuses/1600742141948747776,Twitter for Android,0,reply,3672722779
1600742141139247104,https://twitter.com/AnnSay15/statuses/1600742141139247104,Twitter for Android,17,retweet,1545567530978545664
1600742123678355457,https://twitter.com/mang_ib/statuses/1600742123678355457,Twitter for Android,0,reply,3672722779
1600742109551665153,https://twitter.com/EMSC/statuses/1600742109551665153,emsc-csem,0,original,2449645080
1600742107060514821,https://twitter.com/Prayoga65087873/statuses/1600742107060514821,Twitter for Android,23,retweet,1324957871444951040
1600742103445041152,https://twitter.com/icatwps/statuses/1600742103445041152,Twitter for Android,1,retweet,222384836
1600742100106366977,https://twitter.com/rosma9_trg/statuses/1600742100106366977,Twitter Web App,141,retweet,704317219
1600742088802709504,https://twitter.com/via_alda/statuses/1600742088802709504,Twitter Web App,5,retweet,1542367948253167616
1600742080220868610,https://twitter.com/andinicineur/statuses/1600742080220868610,Twitter for Android,0,original,293507096
1600742075217367041,https://twitter.com/MuhammadOndu/statuses/1600742075217367041,Twitter Web App,5,retweet,1542367919975563264
1600742067180736512,https://twitter.com/rotteardam/statuses/1600742067180736512,Twitter for iPhone,0,reply,1102819833404547072
1600742063565176832,https://twitter.com/petabencana/statuses/1600742063565176832,PetaJakarta.org,0,original,2276880895
1600742058162954240,https://twitter.com/robbyarsy/statuses/1600742058162954240,Twitter for Android,1,retweet,89070106
1600742055298314240,https://twitter.com/ardianirvanm/statuses/1600742055298314240,Twitter for Android,619,retweet,2175078690
1600742054136786945,https://twitter.com/najureni/statuses/1600742054136786945,Twitter Web App,5,retweet,1542343822575009792
1600742045554946048,https://twitter.com/petabencana/statuses/1600742045554946048,PetaJakarta.org,0,reply,2276880895
1600742042815979520,https://twitter.com/nnrayii/statuses/1600742042815979520,Twitter for Android,71,retweet,1599398479344062465
1600742039099822081,https://twitter.com/AzimRasyiq/statuses/1600742039099822081,Twitter Web App,5,retweet,1532716717923008512
1600742035748970497,https://twitter.com/arwahlaron/statuses/1600742035748970497,Twitter for Android,123,retweet,1576920129656434688
1600742035321163777,https://twitter.com/dimasecco/statuses/1600742035321163777,Twitter for Android,18,retweet,1559572562912301056
1600742032221548545,https://twitter.com/chikasfyn/statuses/1600742032221548545,Twitter for iPhone,0,original,108542643
1600742029180694529,https://twitter.com/antaranews/statuses/1600742029180694529,Twitter Web App,0,original,18071520
1600742024118173696,https://twitter.com/PartaiRokok/statuses/1600742024118173696,Twitter Web App,0,quote,1582936965976317954
1600742020301361157,https://twitter.com/rizan3_trg/statuses/1600742020301361157,Twitter Web App,39,retweet,717179785
1600742019822800896,https://twitter.com/Adin2001AJ/statuses/1600742019822800896,Twitter for Android,30,retweet,1587714709112819712
1600742011329744896,https://twitter.com/laztstraw/statuses/1600742011329744896,Twitter Web App,0,reply,1393900579408076807
1600742008192401408,https://twitter.com/laztstraw/statuses/1600742008192401408,Twitter Web App,0,original,1393900579408076807
1600742001900916736,https://twitter.com/_wuu/statuses/1600742001900916736,Twitter for Android,619,retweet,43638942
1600742000956874752,https://twitter.com/anindaheree/statuses/1600742000956874752,Twitter for iPhone,0,reply,1427639414793113607
1600741999442743296,https://twitter.com/agrarisma/statuses/1600741999442743296,Twitter for Android,1341,retweet,1417794013
1600741994804154369,https://twitter.com/rosma9_trg/statuses/1600741994804154369,Twitter Web App,52,retweet,704317219
